track_mbid,artist_mbid
7f3f2647-2270-4cee-a2cb-74275f27d506,8c32bb01-58a3-453b-8050-8c0620edb0e5
95998433-5d6b-4732-ac14-1e7f975fb1fa,149f91ef-1287-46da-9a8e-87fee02f1471
ab289bac-ff0b-4ff6-bbae-78148f1f1351,efa2c11a-1a35-4b60-bc1b-66d37de88511
50dd690c-4b69-487f-a0e2-947eec251bcc,81435053-e1a2-48a4-adfd-e89f310c7b38
70d95cc0-e5de-4312-9fcd-4696c97c20db,a41ac10f-0a56-4672-9161-b83f9b223559
678aba07-1879-4ece-a589-d836121a4997,b3465cab-9628-447c-9897-2d18abab89d3
aace8a5e-be40-413f-8816-6ad2acd6bac3,356abadf-a35c-4f93-baa2-9977b1c14046
50a065f8-0528-47a2-a22a-9146a8ce2762,2944824d-4c26-476f-a981-be849081942f
be3eb663-64a3-46f8-a858-902075fffc46,1e869d26-a409-47d6-966e-d20edb5e9db3
c530f382-7a04-4a21-8627-280b7ce9d6f4,74963434-dcb6-4b14-98cc-99873b06db66
94e6afc1-747c-4c89-a563-1d88d2aee600,f6d410db-cc51-4ee8-aa8d-792ca5f7eb86
ea74f616-2d4e-426e-a369-3855dd0278b1,72e8351a-3410-4fdb-898e-796c1ac4cb53
0a36ae63-8d8c-49f0-9e5a-8b0978e7847b,7fa7fc04-1011-4876-8095-ecd232edea87
5e4a49bb-ced6-41b3-aa41-53a958df7d9e,ba0eb739-583a-456b-ac82-77b43716ab0c
291dbb6a-efe0-4a6b-ae00-d2d53ab2b91c,e07a111e-4e8a-4651-a849-01ac60551ab2
793895dc-39ca-4b67-a35a-9da905d31f4f,5e372a49-5672-4fb8-ba14-18c90780c4f9
0946bb59-1ce6-450d-803a-ca4930893744,26824a9b-fb6c-4b77-8cef-bf90177ac22c
56856396-51ec-4e14-903a-3ef478bac052,9d1ebcfe-4c15-4d18-95d3-d919898638a1
93bb8a26-fca2-42d4-87b8-730dfb0cd642,d700b3f5-45af-4d02-95ed-57d301bda93e
0b07de4c-caf3-4124-9429-0b3e0096f883,c9b00c4c-44ff-47be-9fc8-5764b45cc7a3
